Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression Non-resistant	Expression Resistant	qValue Non-resistant vs Resistant
	46384	47325		+	fixB	EcE24377A_0046	electron transfer flavoprotein FixB	0	0	1.0
47376	47376	48662		+	fixC	EcE24377A_0047	oxidoreductase FixC	0	13592	1.0
47978			47788	-	-	predicted RNA	antisense: fixC	0	76366	1.0
	48659	48946		+	fixX	EcE24377A_0048	ferredoxin-like protein FixX	0	0	1.0
	49004	50335		+	-	EcE24377A_0049	major facilitator family transporter	0	0	1.0
	50443	50973		+	kefF	EcE24377A_0050	glutathione-regulated potassium-efflux system ancillary protein KefF	0	0	1.0
	50966	52828		+	kefC	EcE24377A_0051	glutathione-regulated potassium-efflux system protein KefC	0	0	1.0
	53020	53499		+	folA	EcE24377A_0052	dihydrofolate reductase	0	0	1.0
	54419	53577		-	apaH	EcE24377A_0053	diadenosine tetraphosphatase	0	0	1.0
	54803	54426		-	apaG	EcE24377A_0054	ApaG protein	0	0	1.0
	55627	54806		-	ksgA	EcE24377A_0055	dimethyladenosine transferase	0	0	1.0
	56613	55624		-	pdxA	EcE24377A_0056	4-hydroxythreonine-4-phosphate dehydrogenase	0	0	1.0
	57899	56613		-	surA	EcE24377A_0057	peptidyl-prolyl cis-trans isomerase SurA	0	0	1.0
	60306	57952		-	imp	EcE24377A_0058	organic solvent tolerance protein	0	0	1.0
60561	60561	61376	61376	+	djlA	EcE24377A_0059	Dna-J like membrane chaperone protein	0	122	1.0
61349			61253	-	-	predicted RNA	antisense: djlA	0	1000	0.0
	62152	61493		-	-	EcE24377A_0060	23S rRNA/tRNA pseudouridine synthase A	0	0	1.0
62090			62189	+	-	predicted RNA	antisense: EcE24377A_0060 rapA	0	1000	1.0
	65070	62164		-	rapA	EcE24377A_0061	ATP-dependent helicase HepA	0	34	1.0
	67586	65235		-	polB	EcE24377A_0062	DNA polymerase II	0	0	1.0
	68356	67661		-	araD	EcE24377A_0063	L-ribulose-5-phosphate 4-epimerase	0	0	1.0
	70027	68525		-	araA	EcE24377A_0064	L-arabinose isomerase	0	0	1.0
	71738	70038		-	araB	EcE24377A_0065	ribulokinase	0	0	1.0
	72077	72955		+	araC	EcE24377A_0066	DNA-binding transcriptional regulator AraC	0	0	1.0
	73041	73805		+	-	EcE24377A_0067	hypothetical protein	0	0	1.0
	74617	73919		-	thiQ	EcE24377A_0068	thiamine transporter ATP-binding subunit	0	0	1.0
	76211	74601		-	thiP	EcE24377A_0069	thiamine transporter membrane protein	0	0	1.0
75719			75816	+	-	predicted RNA	antisense: thiP	0	1000	0.0
	77170	76187		-	tbpA	EcE24377A_0070	thiamine transporter substrate binding subunit	0	101	1.0
	77333	77214		-	-	EcE24377A_0071	lipoprotein	0	0	1.0
	78989	77334		-	sgrR	EcE24377A_0072	transcriptional regulator SgrR	0	0	1.0
	79311	80489		+	setA	EcE24377A_0073	major facilitator superfamily sugar transporter	0	0	1.0
	81143	80538		-	leuD	EcE24377A_0074	isopropylmalate isomerase small subunit	0	0	1.0
	82554	81154		-	leuC	EcE24377A_0075	isopropylmalate isomerase large subunit	0	0	1.0
	83648	82557		-	leuB	EcE24377A_0076	3-isopropylmalate dehydrogenase	0	0	1.0
	85219	83648		-	leuA	EcE24377A_0077	2-isopropylmalate synthase	0	0	1.0
85942			86041	+	-	predicted RNA	-	0	1000	1.0
	86058	87002		+	leuO	EcE24377A_0078	leucine transcriptional activator	0	0	1.0
86294			86195	-	-	predicted RNA	antisense: leuO	0	1000	1.0
	87320	89044		+	ilvI	EcE24377A_0079	acetolactate synthase 3 catalytic subunit	0	0	1.0
89047	89047	89538	89538	+	ilvH	EcE24377A_0080	acetolactate synthase 3 regulatory subunit	0	203	1.0
89497			89398	-	-	predicted RNA	antisense: ilvH	0	1000	1.0
	89590	89721		+	-	EcE24377A_0081	hypothetical protein	0	0	1.0
	89718	90722		+	fruR	EcE24377A_0082	DNA-binding transcriptional regulator FruR	0	0	1.0
	91324	91782		+	mraZ	EcE24377A_0083	cell division protein MraZ	0	0	1.0
	91784	92725		+	mraW	EcE24377A_0084	S-adenosyl-methyltransferase MraW	0	0	1.0
	92722	93087		+	ftsL	EcE24377A_0085	cell division protein FtsL	0	0	1.0
	93103	94869		+	ftsI	EcE24377A_0086	peptidoglycan synthetase FtsI	0	0	1.0
	94856	96343		+	murE	EcE24377A_0087	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase	0	0	1.0
	96340	97698		+	murF	EcE24377A_0088	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	0	0	1.0
	97692	98774		+	mraY	EcE24377A_0089	phospho-N-acetylmuramoyl-pentapeptide-transferase	0	0	1.0
	98777	100093		+	murD	EcE24377A_0090	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	0	0	1.0
	100093	101337		+	ftsW	EcE24377A_0091	cell division protein FtsW	0	0	1.0
	101334	102401		+	murG	EcE24377A_0092	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	0	0	1.0
	102455	103930		+	murC	EcE24377A_0093	UDP-N-acetylmuramate--L-alanine ligase	0	0	1.0
	103923	104843		+	ddl	EcE24377A_0094	D-alanine--D-alanine ligase	0	0	1.0
	104845	105675		+	ftsQ	EcE24377A_0095	cell division protein FtsQ	0	0	1.0
	105672	106934		+	ftsA	EcE24377A_0096	cell division protein FtsA	0	0	1.0
106995	106995	108146	108146	+	ftsZ	EcE24377A_0097	cell division protein FtsZ	72	0	0.0
108375			108220	-	-	predicted RNA	antisense: lpxC	534	0	0.0
	108247	109164		+	lpxC	EcE24377A_0098	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	0	0	1.0
	109320	109907		+	secM	EcE24377A_0099	SecA regulator SecM	0	0	1.0
	109969	112674		+	secA	EcE24377A_0100	preprotein translocase subunit SecA	0	0	1.0
	112734	113123		+	mutT	EcE24377A_0101	nucleoside triphosphate pyrophosphohydrolase	0	0	1.0
	113251	113138		-	-	EcE24377A_0102	hypothetical protein	0	0	1.0
	113420	113223		-	-	EcE24377A_0103	zinc-binding protein	0	0	1.0
	114173	113430		-	-	EcE24377A_0104	hypothetical protein	0	0	1.0
	114793	114173		-	coaE	EcE24377A_0105	dephospho-CoA kinase	0	0	1.0
	115018	116061		+	guaC	EcE24377A_0106	guanosine 5'-monophosphate oxidoreductase	0	0	1.0
	118673	117288		-	hofB	EcE24377A_0109	hypothetical protein	0	0	1.0
	119123	118683		-	pilA	EcE24377A_0110	major pilin subunit	0	0	1.0
	120219	119326		-	nadC	EcE24377A_0111	quinolinate phosphoribosyltransferase	0	0	1.0
	120307	120858		+	ampD	EcE24377A_0112	N-acetyl-anhydromuranmyl-L-alanine amidase	0	0	1.0
	120855	121709	121709	+	ampE	EcE24377A_0113	regulatory protein AmpE	48	0	0.0
121491			121342	-	-	predicted RNA	antisense: ampE	277	0	0.0
	123122	121752		-	aroP	EcE24377A_0114	aromatic amino acid transporter	0	0	1.0
	123666	124430		+	pdhR	EcE24377A_0115	transcriptional regulator PdhR	0	0	1.0
	124591	127254		+	aceE	EcE24377A_0116	pyruvate dehydrogenase subunit E1	0	0	1.0
	127269	129161		+	aceF	EcE24377A_0117	dihydrolipoamide acetyltransferase	0	0	1.0
	129486	130910		+	lpdA	EcE24377A_0118	dihydrolipoamide dehydrogenase	0	0	1.0
	132834	130981		-	-	EcE24377A_0119	hypothetical protein	0	0	1.0
	133189	135786		+	acnB	EcE24377A_0120	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	0	0	1.0
	135961	136323		+	-	EcE24377A_0121	hypothetical protein	0	0	1.0
	137155	136361		-	speD	EcE24377A_0122	S-adenosylmethionine decarboxylase	0	0	1.0
	138037	137171		-	speE	EcE24377A_0123	spermidine synthase	0	0	1.0
	138490	138143		-	-	EcE24377A_0124	hypothetical protein	0	0	1.0
	138617	140206		+	cueO	EcE24377A_0125	multicopper oxidase	0	0	1.0
	142643	140253		-	gcd	EcE24377A_0126	glucose dehydrogenase	0	0	1.0
	142849	143385		+	hpt	EcE24377A_0127	hypoxanthine phosphoribosyltransferase	0	0	1.0
	144088	143426		-	can	EcE24377A_0128	carbonic anhydrase	0	0	1.0
	144197	145123		+	-	EcE24377A_0129	ABC transporter ATP-binding protein	0	0	1.0
	145120	145890		+	-	EcE24377A_0130	ABC transporter permease	0	0	1.0
	145995	146435		+	-	EcE24377A_0131	PTS system transporter subunit IIA	0	0	1.0
	146499	147728		+	-	EcE24377A_0132	polysaccharide deacetylase	0	0	1.0
	148112	147732		-	panD	EcE24377A_0133	aspartate alpha-decarboxylase	0	0	1.0
	148080	148274		+	-	EcE24377A_0134	hypothetical protein	0	0	1.0
	148386	149288		+	-	EcE24377A_0135	hypothetical protein	0	0	1.0
	150213	149362		-	panC	EcE24377A_0136	pantoate--beta-alanine ligase	0	0	1.0
	151019	150225		-	panB	EcE24377A_0137	3-methyl-2-oxobutanoate hydroxymethyltransferase	0	0	1.0
	152406	151132		-	-	EcE24377A_0138	fimbrial-like adhesin protein	0	0	1.0
	153055	152459		-	-	EcE24377A_0139	hypothetical protein	0	0	1.0
	153684	153082		-	-	EcE24377A_0140	fimbrial protein	0	0	1.0
	153781	153686		-	-	EcE24377A_0141	hypothetical protein	0	0	1.0
	156885	154285		-	-	EcE24377A_0142	outer membrane usher protein	0	0	1.0
	157660	156920		-	-	EcE24377A_0143	chaperone protein EcpD	0	0	1.0
	157640	157753		+	-	EcE24377A_0144	hypothetical protein	0	0	1.0
	158349	157765		-	-	EcE24377A_0145	fimbrial protein	0	0	1.0
	159198	158719		-	folK	EcE24377A_0146	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	0	0	1.0
	160559	159195		-	pcnB	EcE24377A_0147	poly(A) polymerase	0	0	1.0
	161578	160652		-	gluQ	EcE24377A_0148	glutamyl-Q tRNA(Asp) synthetase	0	0	1.0
	162070	161615		-	dksA	EcE24377A_0149	RNA polymerase-binding transcription factor	0	0	1.0
	162952	162248		-	sfsA	EcE24377A_0150	sugar fermentation stimulation protein A	0	0	1.0
	163497	162967		-	ligT	EcE24377A_0151	2'-5' RNA ligase	0	0	1.0
	163571	166000		+	hrpB	EcE24377A_0152	ATP-dependent RNA helicase HrpB	0	0	1.0
	166196	168730		+	mrcB	EcE24377A_0153	penicillin-binding protein 1b	0	0	1.0
	168929	168795		-	-	EcE24377A_0154	hypothetical protein	0	0	1.0
	168950	171193		+	fhuA	EcE24377A_0155	ferrichrome outer membrane transporter	0	0	1.0
	171244	172041		+	fhuC	EcE24377A_0156	iron-hydroxamate transporter ATP-binding subunit	0	0	1.0
	172041	172931		+	fhuD	EcE24377A_0157	iron-hydroxamate transporter substrate-binding subunit	0	0	1.0
	172928	174910		+	fhuB	EcE24377A_0158	iron-hydroxamate transporter permease subunit	0	99	0.0
	176225	174945		-	hemL	EcE24377A_0159	glutamate-1-semialdehyde aminotransferase	0	78	1.0
	176450	177871		+	clcA	EcE24377A_0160	chloride channel protein	0	0	1.0
	177953	178297		+	-	EcE24377A_0161	iron-sulfur cluster insertion protein ErpA	0	0	1.0
	178967	178344		-	-	EcE24377A_0162	hypothetical protein	0	0	1.0
	179805	179005		-	btuF	EcE24377A_0163	vitamin B12-transporter protein BtuF	0	0	1.0
	180496	179798		-	mtnN	EcE24377A_0164	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	0	0	1.0
	180580	182097		+	dgt	EcE24377A_0165	deoxyguanosinetriphosphate triphosphohydrolase	0	0	1.0
182227	182227	183651	183651	+	degP	EcE24377A_0166	serine endoprotease	87	0	0.0
	183833	184963		+	cdaR	EcE24377A_0167	carbohydrate diacid transcriptional activator CdaR	0	0	1.0
	185438	185052		-	-	EcE24377A_0168	hypothetical protein	0	0	1.0
	186577	185753		-	dapD	EcE24377A_0169	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	0	0	1.0
186430			186529	+	-	predicted RNA	antisense: dapD	0	1000	1.0
	189280	186608		-	glnD	EcE24377A_0170	PII uridylyl-transferase	0	37	1.0
	190136	189342		-	map	EcE24377A_0171	methionine aminopeptidase	0	0	1.0
	190504	191229		+	rpsB	EcE24377A_0173	30S ribosomal protein S2	0	0	1.0
	191487	192338		+	tsf	EcE24377A_0174	elongation factor Ts	0	0	1.0
	192485	193210		+	pyrH	EcE24377A_0175	uridylate kinase	0	0	1.0
193502	193502	194059	194059	+	frr	EcE24377A_0176	ribosome recycling factor	0	179	1.0
	194151	195347		+	dxr	EcE24377A_0177	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0	83	1.0
195061			194962	-	-	predicted RNA	antisense: dxr	0	1000	1.0
	195536	196294		+	uppS	EcE24377A_0178	undecaprenyl pyrophosphate synthase	0	0	1.0
	196307	197164		+	cdsA	EcE24377A_0179	CDP-diglyceride synthase	0	0	1.0
	197176	198528		+	rseP	EcE24377A_0180	zinc metallopeptidase RseP	0	0	1.0
	198558	200990		+	yaeT	EcE24377A_0181	outer membrane protein assembly factor YaeT	17	41	1.0
200921			200772	-	-	predicted RNA	antisense: yaeT	277	0	0.0
201182			201083	-	-	predicted RNA	antisense: skp	0	1000	1.0
	201112	201597		+	skp	EcE24377A_0182	periplasmic chaperone	0	0	1.0
	201601	202626		+	lpxD	EcE24377A_0183	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	0	0	1.0
202385			202286	-	-	predicted RNA	antisense: lpxD	0	1000	1.0
	202731	203186		+	fabZ	EcE24377A_0184	(3R)-hydroxymyristoyl-ACP dehydratase	0	0	1.0
	203190	203978		+	lpxA	EcE24377A_0185	UDP-N-acetylglucosamine acyltransferase	0	0	1.0
	203978	205126		+	lpxB	EcE24377A_0186	lipid-A-disaccharide synthase	0	0	1.0
	205123	205719	205719	+	rnhB	EcE24377A_0187	ribonuclease HII	69	0	0.0
205350			205201	-	-	predicted RNA	antisense: rnhB	277	0	0.0
	205756	209238		+	dnaE	EcE24377A_0188	DNA polymerase III subunit alpha	0	28	1.0
208373			208274	-	-	predicted RNA	antisense: dnaE	0	1000	1.0
	209251	210210		+	accA	EcE24377A_0189	acetyl-CoA carboxylase carboxyltransferase subunit alpha	0	0	1.0
	210309	212450		+	ldcC	EcE24377A_0190	lysine decarboxylase, constitutive	0	0	1.0
	212507	212896		+	-	EcE24377A_0191	hypothetical protein	0	0	1.0
	212961	214259		+	tilS	EcE24377A_0192	tRNA(Ile)-lysidine synthetase	0	0	1.0
	214568	214308		-	rof	EcE24377A_0193	Rho-binding antiterminator	0	0	1.0
214455			214554	+	-	predicted RNA	antisense: rof	0	1000	1.0
214807	214755	214555		-	-	EcE24377A_0194	hypothetical protein	0	238	0.0
	214921	215466		+	-	EcE24377A_0195	hypothetical protein	0	0	1.0
	215463	215885		+	-	EcE24377A_0196	peptidyl-tRNA hydrolase domain-containing protein	0	0	1.0
	215899	216609		+	cutF	EcE24377A_0197	lipoprotein involved with copper homeostasis and adhesion	0	0	1.0
	216859	217839		+	-	EcE24377A_0198	IS621, transposase	0	0	1.0
	217966	218076		+	-	EcE24377A_0200	hypothetical protein	0	0	1.0
	220637	218919		-	proS	EcE24377A_0201	prolyl-tRNA synthetase	0	0	1.0
	221456	220749		-	-	EcE24377A_0202	hypothetical protein	0	0	1.0
	221857	221453		-	rcsF	EcE24377A_0203	outer membrane lipoprotein	0	0	1.0
221672			221797	+	-	predicted RNA	antisense: rcsF	0	1587	0.0
	222790	221975		-	metQ	EcE24377A_0204	DL-methionine transporter substrate-binding subunit	0	0	1.0
	223483	222830		-	metI	EcE24377A_0205	DL-methionine transporter permease	0	0	1.0
	224507	223476		-	metN	EcE24377A_0206	DL-methionine transporter ATP-binding subunit	0	0	1.0
	224695	225270		+	-	EcE24377A_0207	D,D-heptose 1,7-bisphosphate phosphatase	0	0	1.0
225632			227173	+	rrsA	EcE24377A_5003	16S ribosomal RNA	0	0	1.0
227242			227318	+	-	EcE24377A_5004	Ile tRNA	0	0	1.0
227361			227436	+	-	EcE24377A_5005	Ala tRNA	0	0	1.0
227600			230523	+	rrlA	EcE24377A_5006	23S ribosomal RNA	0	0	1.0
230616			230735	+	rrfA	EcE24377A_5007	5S ribosomal RNA	0	0	1.0
230927			231003	+	-	EcE24377A_5008	Asp tRNA	0	0	1.0
	231166	231969		+	dkgB	EcE24377A_0213	2,5-diketo-D-gluconate reductase B	0	0	1.0
	232880	231966		-	-	EcE24377A_0212	LysR family transcriptional regulator	0	0	1.0
	233121	233921		+	-	EcE24377A_0214	hypothetical protein	0	0	1.0
	233999	234769		+	-	EcE24377A_0215	UbiE/COQ5 family methlytransferase	0	0	1.0
	236175	234817	234817	-	mltD	EcE24377A_0216	membrane-bound lytic murein transglycosylase D	30	0	0.0
	237002	236247		-	gloB	EcE24377A_0217	hydroxyacylglutathione hydrolase	0	0	1.0
	237036	237758		+	-	EcE24377A_0220	methyltransferase	0	0	1.0
	237327	237199		-	-	EcE24377A_0218	hypothetical protein	0	0	1.0
	238222	237755		-	rnhA	EcE24377A_0219	ribonuclease H	0	0	1.0
	238287	239018		+	dnaQ	EcE24377A_0221	DNA polymerase III subunit epsilon	0	0	1.0
239151			239227	+	-	EcE24377A_5009	Asp tRNA	0	0	1.0
	239237	239335		+	-	EcE24377A_0223	hypothetical protein	0	0	1.0
	239557	240342		+	-	EcE24377A_0224	lipoprotein	0	0	1.0
	241882	240968		-	-	EcE24377A_0225	hypothetical protein	0	0	1.0
	242408	241926		-	-	EcE24377A_0226	hypothetical protein	0	0	1.0
	243784	242432		-	-	EcE24377A_0227	ImpA domain-containing protein	0	0	1.0
	247319	243795		-	-	EcE24377A_0228	hypothetical protein	0	0	1.0
	248750	247338		-	-	EcE24377A_0229	ImpA domain-containing protein	0	0	1.0
	249498	248755		-	-	EcE24377A_0230	type VI secretion-associated protein	0	0	1.0
	252254	249495		-	-	EcE24377A_0231	ATP-dependent chaperone protein ClpB	0	0	1.0
	253024	252263		-	-	EcE24377A_0232	hypothetical protein	0	0	1.0
	254360	253029		-	-	EcE24377A_0233	hypothetical protein	0	0	1.0
	254887	254363		-	-	EcE24377A_0234	type VI secretion lipoprotein	0	0	1.0
	256164	254884		-	-	EcE24377A_0235	hypothetical protein	0	0	1.0
	257271	256189		-	-	EcE24377A_0236	hypothetical protein	0	0	1.0
	259085	257235		-	-	EcE24377A_0237	hypothetical protein	0	0	1.0
	259502	259089		-	-	EcE24377A_0238	hypothetical protein	0	0	1.0
	260984	259509		-	-	EcE24377A_0239	hypothetical protein	0	0	1.0
	261259	261035		-	-	EcE24377A_0240	hypothetical protein	0	0	1.0
	261794	261294		-	-	EcE24377A_0241	hypothetical protein	0	0	1.0
	262222	262365		+	-	EcE24377A_0242	hypothetical protein	0	0	1.0
	262492	263010		+	-	EcE24377A_0243	hypothetical protein	0	0	1.0
	263043	263180		+	-	EcE24377A_0244	hypothetical protein	0	0	1.0
	263220	265361		+	-	EcE24377A_0245	ImpA family type VI secretion-associated protein	0	0	1.0
	265437	269684		+	-	EcE24377A_0246	Rhs protein	0	0	1.0
	269668	270150		+	-	EcE24377A_0247	hypothetical protein	0	0	1.0
	273508	272738		-	-	EcE24377A_0251	hypothetical protein	0	0	1.0
	273662	274135		+	-	EcE24377A_0252	C-lysozyme inhibitor	0	0	1.0
	276622	274178		-	fadE	EcE24377A_0253	acyl-CoA dehydrogenase	0	0	1.0
	276862	277440		+	gmhA	EcE24377A_0254	phosphoheptose isomerase	0	0	1.0
	277494	277586		+	-	EcE24377A_0255	hypothetical protein	0	0	1.0
277646	277646	278413	278413	+	-	EcE24377A_0257	glutamine amidotransferase	54	0	0.0
	279124	278384		-	-	EcE24377A_0256	hypothetical protein	0	0	1.0
	279558	279280		-	-	EcE24377A_0258	hypothetical protein	0	0	1.0
	279821	279561		-	-	EcE24377A_0259	addiction module antitoxin	0	0	1.0
	279971	280780		+	-	EcE24377A_0261	NlpC/P60 family protein	0	0	1.0
	280128	280015		-	-	EcE24377A_0260	hypothetical protein	0	0	1.0
	281193	280837		-	-	EcE24377A_0262	HicB family protein	0	0	1.0
	283308	281569		-	fhiA	EcE24377A_0263	protein FhiA	0	0	1.0
	283268	284038		+	-	EcE24377A_0264	hypothetical protein	0	0	1.0
	284109	285164		+	dinB	EcE24377A_0265	DNA polymerase IV	0	0	1.0
	285161	285613		+	-	EcE24377A_0266	hypothetical protein	0	0	1.0
	285832	286998		+	-	EcE24377A_0267	hypothetical protein	0	0	1.0
	286995	287609		+	prfH	EcE24377A_0268	peptide chain release factor-like protein	0	0	1.0
	289123	287666		-	pepD	EcE24377A_0269	aminoacyl-histidine dipeptidase	0	0	1.0
	289384	289842		+	gpt	EcE24377A_0270	xanthine-guanine phosphoribosyltransferase	0	0	1.0
	289934	291178		+	frsA	EcE24377A_0271	fermentation/respiration switch protein	0	0	1.0
	291236	291637		+	crl	EcE24377A_0272	DNA-binding transcriptional regulator Crl	0	0	1.0
	292731	291676		-	phoE	EcE24377A_0273	outer membrane phosphoporin protein E	0	0	1.0
	293019	294122		+	proB	EcE24377A_0274	gamma-glutamyl kinase	0	0	1.0
	294134	295387		+	proA	EcE24377A_0275	gamma-glutamyl phosphate reductase	0	0	1.0
295502			295577	+	-	EcE24377A_5010	Thr tRNA	0	0	1.0
	295804	296661		+	-	EcE24377A_0278	hypothetical protein	0	0	1.0
	296783	297001		+	-	EcE24377A_0279	prophage CP4-57 regulatory protein	0	0	1.0
	297108	298190		+	-	EcE24377A_0280	hypothetical protein	0	0	1.0
	298177	298890		+	-	EcE24377A_0281	hypothetical protein	0	0	1.0
	302654	299412		-	-	EcE24377A_0282	SNF2 family helicase	0	0	1.0
	304357	302654		-	-	EcE24377A_0283	hypothetical protein	0	0	1.0
	305073	304333		-	-	EcE24377A_0284	hypothetical protein	0	0	1.0
	307306	305087		-	-	EcE24377A_0285	hypothetical protein	0	0	1.0
	307639	309348		+	-	EcE24377A_0286	N4/N6-methyltransferase	0	0	1.0
	309338	310753		+	-	EcE24377A_0287	type I restriction modification DNA specificity domain-containing protein	0	0	1.0
	310746	311933		+	-	EcE24377A_0288	hypothetical protein	0	0	1.0
	311933	315067		+	-	EcE24377A_0289	HsdR family type I site-specific deoxyribonuclease	0	0	1.0
	315244	318276		+	-	EcE24377A_0290	UvrD family helicase	0	0	1.0
	318276	319091		+	-	EcE24377A_0291	hypothetical protein	0	0	1.0
	320565	319243		-	-	EcE24377A_0292	phage integrase	0	0	1.0
320696			320775	+	-	EcE24377A_5011	Xaa tRNA	0	0	1.0
	322247	321291		-	-	EcE24377A_0294	xanthine dehydrogenase accessory factor	0	0	1.0
	324455	322257		-	-	EcE24377A_0295	xanthine dehydrogenase, molybdopterin-binding subunit	0	0	1.0
	325408	324452		-	-	EcE24377A_0296	FAD binding domain-containing protein	0	0	1.0
	326094	325405		-	-	EcE24377A_0297	xanthine dehydrogenase iron-sulfur-binding subunit	0	0	1.0
326270			326160	-	-	predicted RNA	-	0	1801	0.0
326512	326512	327126	327126	+	-	EcE24377A_0298	hypothetical protein	0	325	0.0
327247			327079	-	-	predicted RNA	antisense: EcE24377A_0298	0	1183	0.0
